Hour,Avg Saturday (all det)
0,108.5
1,62.666666666666664
2,36.666666666666664
3,25.833333333333332
4,40.0
5,55.833333333333336
6,113.83333333333333
7,191.16666666666666
8,343.0
9,531.1666666666666
10,583.3333333333334
11,602.3333333333334
12,619.1666666666666
13,647.0
14,633.0
15,543.8333333333334
16,499.5
17,467.1666666666667
18,376.6666666666667
19,349.3333333333333
20,338.3333333333333
21,265.8333333333333
22,225.16666666666666
23,187.5
