run_id,sim_time,queue_name,location,length,event_type,actor_type,actor_id
20260611_171703_102cf35c,65280,car_queue_46493064,46493064,0,snapshot,system,
20260611_171703_102cf35c,65280,car_queue_3611512307,3611512307,0,snapshot,system,
20260611_171703_102cf35c,65280,parking_entry_queue,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65280,parking_lot_occupancy,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65340,shuttle_bus_queue,bus_stop,0,snapshot,system,
20260611_171703_102cf35c,65340,ticket_scan_queue,ticket_scan,0,snapshot,system,
20260611_171703_102cf35c,65340,car_queue_46354890,46354890,0,snapshot,system,
20260611_171703_102cf35c,65340,car_queue_46336597,46336597,0,snapshot,system,
20260611_171703_102cf35c,65340,car_queue_46527746,46527746,0,snapshot,system,
20260611_171703_102cf35c,65340,car_queue_46493064,46493064,0,snapshot,system,
20260611_171703_102cf35c,65340,car_queue_3611512307,3611512307,0,snapshot,system,
20260611_171703_102cf35c,65340,parking_entry_queue,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65340,parking_lot_occupancy,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65400,shuttle_bus_queue,bus_stop,0,snapshot,system,
20260611_171703_102cf35c,65400,ticket_scan_queue,ticket_scan,0,snapshot,system,
20260611_171703_102cf35c,65400,car_queue_46354890,46354890,0,snapshot,system,
20260611_171703_102cf35c,65400,car_queue_46336597,46336597,0,snapshot,system,
20260611_171703_102cf35c,65400,car_queue_46527746,46527746,0,snapshot,system,
20260611_171703_102cf35c,65400,car_queue_46493064,46493064,0,snapshot,system,
20260611_171703_102cf35c,65400,car_queue_3611512307,3611512307,0,snapshot,system,
20260611_171703_102cf35c,65400,parking_entry_queue,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65400,parking_lot_occupancy,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65460,shuttle_bus_queue,bus_stop,0,snapshot,system,
20260611_171703_102cf35c,65460,ticket_scan_queue,ticket_scan,0,snapshot,system,
