run_id,visitor_id,sim_time,state,mode,location
20260611_171703_102cf35c,29,66394.24935591352,waiting_car,car,Node1
20260611_171703_102cf35c,29,66394.24935591352,in_car,car,46354890
20260611_171703_102cf35c,30,66394.2498224584,generated,car,Node5
20260611_171703_102cf35c,30,66394.2498224584,waiting_car,car,Node5
20260611_171703_102cf35c,30,66394.2498224584,in_car,car,3611512307
20260611_171703_102cf35c,31,66397.56834580409,generated,car,Node1
20260611_171703_102cf35c,31,66397.56834580409,waiting_car,car,Node1
20260611_171703_102cf35c,31,66397.56834580409,in_car,car,46354890
20260611_171703_102cf35c,32,66401.4483365642,generated,car,Node1
20260611_171703_102cf35c,32,66401.4483365642,waiting_car,car,Node1
20260611_171703_102cf35c,32,66401.4483365642,in_car,car,46354890
20260611_171703_102cf35c,33,66401.91787071816,generated,shuttle,Bus_start
20260611_171703_102cf35c,33,66401.91787071816,walking_to_bus,shuttle,Bus_start
20260611_171703_102cf35c,34,66402.43447962028,generated,car,Node1
20260611_171703_102cf35c,34,66402.43447962028,waiting_car,car,Node1
20260611_171703_102cf35c,34,66402.43447962028,in_car,car,46354890
20260611_171703_102cf35c,35,66408.11425694416,generated,car,Node5
20260611_171703_102cf35c,35,66408.11425694416,waiting_car,car,Node5
20260611_171703_102cf35c,35,66408.11425694416,in_car,car,3611512307
20260611_171703_102cf35c,36,66408.36494535401,generated,car,Node1
20260611_171703_102cf35c,36,66408.36494535401,waiting_car,car,Node1
20260611_171703_102cf35c,36,66408.36494535401,in_car,car,46354890
20260611_171703_102cf35c,37,66410.77766330093,generated,car,Node1
20260611_171703_102cf35c,37,66410.77766330093,waiting_car,car,Node1
20260611_171703_102cf35c,37,66410.77766330093,in_car,car,46354890
20260611_171703_102cf35c,38,66411.02379624615,generated,car,Node1
20260611_171703_102cf35c,38,66411.02379624615,waiting_car,car,Node1
20260611_171703_102cf35c,38,66411.02379624615,in_car,car,46354890
20260611_171703_102cf35c,39,66411.66809774729,generated,car,Node5
20260611_171703_102cf35c,39,66411.66809774729,waiting_car,car,Node5
20260611_171703_102cf35c,39,66411.66809774729,in_car,car,3611512307
20260611_171703_102cf35c,40,66415.80460233343,generated,car,Node5
20260611_171703_102cf35c,40,66415.80460233343,waiting_car,car,Node5
20260611_171703_102cf35c,40,66415.80460233343,in_car,car,3611512307
20260611_171703_102cf35c,41,66416.53024482376,generated,car,Node1
20260611_171703_102cf35c,41,66416.53024482376,waiting_car,car,Node1
20260611_171703_102cf35c,41,66416.53024482376,in_car,car,46354890
20260611_171703_102cf35c,42,66421.11265881469,generated,car,Node4
20260611_171703_102cf35c,42,66421.11265881469,waiting_car,car,Node4
20260611_171703_102cf35c,42,66421.11265881469,in_car,car,46493064
20260611_171703_102cf35c,43,66423.70424841088,generated,car,Node1
20260611_171703_102cf35c,43,66423.70424841088,waiting_car,car,Node1
20260611_171703_102cf35c,43,66423.70424841088,in_car,car,46354890
20260611_171703_102cf35c,44,66425.63808925913,generated,car,Node5
20260611_171703_102cf35c,44,66425.63808925913,waiting_car,car,Node5
20260611_171703_102cf35c,44,66425.63808925913,in_car,car,3611512307
20260611_171703_102cf35c,45,66425.70240089502,generated,car,Node1
20260611_171703_102cf35c,45,66425.70240089502,waiting_car,car,Node1
20260611_171703_102cf35c,45,66425.70240089502,in_car,car,46354890
20260611_171703_102cf35c,46,66426.5291794272,generated,car,Node5
20260611_171703_102cf35c,46,66426.5291794272,waiting_car,car,Node5
20260611_171703_102cf35c,46,66426.5291794272,in_car,car,3611512307
20260611_171703_102cf35c,47,66429.64913756234,generated,car,Node4
20260611_171703_102cf35c,47,66429.64913756234,waiting_car,car,Node4
20260611_171703_102cf35c,47,66429.64913756234,in_car,car,46493064
20260611_171703_102cf35c,48,66430.19856233144,generated,car,Node5
20260611_171703_102cf35c,48,66430.19856233144,waiting_car,car,Node5
20260611_171703_102cf35c,48,66430.19856233144,in_car,car,3611512307
20260611_171703_102cf35c,49,66432.27169772629,generated,car,Node1
20260611_171703_102cf35c,49,66432.27169772629,waiting_car,car,Node1
20260611_171703_102cf35c,49,66432.27169772629,in_car,car,46354890
20260611_171703_102cf35c,50,66432.84105888133,generated,shuttle,Bus_start
20260611_171703_102cf35c,50,66432.84105888133,walking_to_bus,shuttle,Bus_start
20260611_171703_102cf35c,51,66433.72068594742,generated,car,Node1
20260611_171703_102cf35c,51,66433.72068594742,waiting_car,car,Node1
20260611_171703_102cf35c,51,66433.72068594742,in_car,car,46354890
20260611_171703_102cf35c,52,66433.7568672723,generated,car,Node5
20260611_171703_102cf35c,52,66433.7568672723,waiting_car,car,Node5
20260611_171703_102cf35c,52,66433.7568672723,in_car,car,3611512307
20260611_171703_102cf35c,53,66434.13929153049,generated,car,Node5
20260611_171703_102cf35c,53,66434.13929153049,waiting_car,car,Node5
20260611_171703_102cf35c,53,66434.13929153049,in_car,car,3611512307
20260611_171703_102cf35c,54,66434.46008842235,generated,car,Node5
20260611_171703_102cf35c,54,66434.46008842235,waiting_car,car,Node5
20260611_171703_102cf35c,54,66434.46008842235,in_car,car,3611512307
20260611_171703_102cf35c,55,66437.13723007283,generated,car,Node1
20260611_171703_102cf35c,55,66437.13723007283,waiting_car,car,Node1
20260611_171703_102cf35c,55,66437.13723007283,in_car,car,46354890
20260611_171703_102cf35c,56,66441.19462093979,generated,car,Node1
20260611_171703_102cf35c,56,66441.19462093979,waiting_car,car,Node1
20260611_171703_102cf35c,56,66441.19462093979,in_car,car,46354890
20260611_171703_102cf35c,57,66441.47214334684,generated,car,Node1
20260611_171703_102cf35c,57,66441.47214334684,waiting_car,car,Node1
20260611_171703_102cf35c,57,66441.47214334684,in_car,car,46354890
20260611_171703_102cf35c,58,66445.94940377217,generated,car,Node1
20260611_171703_102cf35c,58,66445.94940377217,waiting_car,car,Node1
20260611_171703_102cf35c,58,66445.94940377217,in_car,car,46354890
20260611_171703_102cf35c,59,66447.52569286851,generated,car,Node1
20260611_171703_102cf35c,59,66447.52569286851,waiting_car,car,Node1
20260611_171703_102cf35c,59,66447.52569286851,in_car,car,46354890
20260611_171703_102cf35c,60,66449.22170684673,generated,car,Node5
20260611_171703_102cf35c,60,66449.22170684673,waiting_car,car,Node5
20260611_171703_102cf35c,60,66449.22170684673,in_car,car,3611512307
20260611_171703_102cf35c,61,66456.38544395663,generated,car,Node1
20260611_171703_102cf35c,61,66456.38544395663,waiting_car,car,Node1
20260611_171703_102cf35c,61,66456.38544395663,in_car,car,46354890
20260611_171703_102cf35c,62,66456.81628416225,generated,shuttle,Bus_start
20260611_171703_102cf35c,62,66456.81628416225,walking_to_bus,shuttle,Bus_start
20260611_171703_102cf35c,63,66459.27798369771,generated,car,Node4
20260611_171703_102cf35c,63,66459.27798369771,waiting_car,car,Node4
20260611_171703_102cf35c,63,66459.27798369771,in_car,car,46493064
20260611_171703_102cf35c,64,66460.5356902556,generated,shuttle,Bus_start
20260611_171703_102cf35c,64,66460.5356902556,walking_to_bus,shuttle,Bus_start
20260611_171703_102cf35c,65,66472.9161728755,generated,car,Node1
20260611_171703_102cf35c,65,66472.9161728755,waiting_car,car,Node1
20260611_171703_102cf35c,65,66472.9161728755,in_car,car,46354890
20260611_171703_102cf35c,66,66474.0602936426,generated,car,Node1
20260611_171703_102cf35c,66,66474.0602936426,waiting_car,car,Node1
20260611_171703_102cf35c,66,66474.0602936426,in_car,car,46354890
20260611_171703_102cf35c,67,66476.38408704282,generated,shuttle,Bus_start
20260611_171703_102cf35c,67,66476.38408704282,walking_to_bus,shuttle,Bus_start
20260611_171703_102cf35c,68,66476.39789504369,generated,car,Node4
20260611_171703_102cf35c,68,66476.39789504369,waiting_car,car,Node4
20260611_171703_102cf35c,68,66476.39789504369,in_car,car,46493064
20260611_171703_102cf35c,69,66478.4028508159,generated,car,Node5
20260611_171703_102cf35c,69,66478.4028508159,waiting_car,car,Node5
20260611_171703_102cf35c,69,66478.4028508159,in_car,car,3611512307
20260611_171703_102cf35c,70,66480.69352691315,generated,car,Node1
20260611_171703_102cf35c,70,66480.69352691315,waiting_car,car,Node1
20260611_171703_102cf35c,70,66480.69352691315,in_car,car,46354890
20260611_171703_102cf35c,71,66481.26120844518,generated,car,Node5
20260611_171703_102cf35c,71,66481.26120844518,waiting_car,car,Node5
20260611_171703_102cf35c,71,66481.26120844518,in_car,car,3611512307
20260611_171703_102cf35c,72,66483.24523273965,generated,car,Node5
20260611_171703_102cf35c,72,66483.24523273965,waiting_car,car,Node5
20260611_171703_102cf35c,72,66483.24523273965,in_car,car,3611512307
20260611_171703_102cf35c,73,66485.40715558156,generated,car,Node1
20260611_171703_102cf35c,73,66485.40715558156,waiting_car,car,Node1
20260611_171703_102cf35c,73,66485.40715558156,in_car,car,46354890
20260611_171703_102cf35c,74,66490.60955190784,generated,car,Node1
20260611_171703_102cf35c,74,66490.60955190784,waiting_car,car,Node1
20260611_171703_102cf35c,74,66490.60955190784,in_car,car,46354890
20260611_171703_102cf35c,75,66491.2358437104,generated,shuttle,Bus_start
20260611_171703_102cf35c,75,66491.2358437104,walking_to_bus,shuttle,Bus_start
20260611_171703_102cf35c,76,66494.8842694097,generated,car,Node5
20260611_171703_102cf35c,76,66494.8842694097,waiting_car,car,Node5
20260611_171703_102cf35c,76,66494.8842694097,in_car,car,3611512307
20260611_171703_102cf35c,77,66497.24121265898,generated,car,Node5
20260611_171703_102cf35c,77,66497.24121265898,waiting_car,car,Node5
20260611_171703_102cf35c,77,66497.24121265898,in_car,car,3611512307
20260611_171703_102cf35c,78,66497.43695608932,generated,car,Node5
20260611_171703_102cf35c,78,66497.43695608932,waiting_car,car,Node5
20260611_171703_102cf35c,78,66497.43695608932,in_car,car,3611512307
20260611_171703_102cf35c,79,66498.54464848964,generated,shuttle,Bus_start
20260611_171703_102cf35c,79,66498.54464848964,walking_to_bus,shuttle,Bus_start
20260611_171703_102cf35c,80,66498.90124558512,generated,car,Node5
20260611_171703_102cf35c,80,66498.90124558512,waiting_car,car,Node5
20260611_171703_102cf35c,80,66498.90124558512,in_car,car,3611512307
20260611_171703_102cf35c,81,66499.0079952998,generated,car,Node5
20260611_171703_102cf35c,81,66499.0079952998,waiting_car,car,Node5
20260611_171703_102cf35c,81,66499.0079952998,in_car,car,3611512307
20260611_171703_102cf35c,82,66500.08715342931,generated,car,Node5
20260611_171703_102cf35c,82,66500.08715342931,waiting_car,car,Node5
20260611_171703_102cf35c,82,66500.08715342931,in_car,car,3611512307
20260611_171703_102cf35c,83,66500.22496003492,generated,car,Node1
20260611_171703_102cf35c,83,66500.22496003492,waiting_car,car,Node1
20260611_171703_102cf35c,83,66500.22496003492,in_car,car,46354890
20260611_171703_102cf35c,84,66500.27147664143,generated,car,Node5
20260611_171703_102cf35c,84,66500.27147664143,waiting_car,car,Node5
20260611_171703_102cf35c,84,66500.27147664143,in_car,car,3611512307
20260611_171703_102cf35c,85,66500.69044923081,generated,car,Node5
20260611_171703_102cf35c,85,66500.69044923081,waiting_car,car,Node5
20260611_171703_102cf35c,85,66500.69044923081,in_car,car,3611512307
20260611_171703_102cf35c,86,66501.55115653058,generated,car,Node1
20260611_171703_102cf35c,86,66501.55115653058,waiting_car,car,Node1
20260611_171703_102cf35c,86,66501.55115653058,in_car,car,46354890
20260611_171703_102cf35c,2,66501.80117330127,waiting_bus,shuttle,bus_stop
20260611_171703_102cf35c,2,66501.80117330127,in_bus,shuttle,bus
20260611_171703_102cf35c,87,66502.11761874749,generated,car,Node5
20260611_171703_102cf35c,87,66502.11761874749,waiting_car,car,Node5
20260611_171703_102cf35c,87,66502.11761874749,in_car,car,3611512307
20260611_171703_102cf35c,88,66504.68495518871,generated,car,Node1
20260611_171703_102cf35c,88,66504.68495518871,waiting_car,car,Node1
20260611_171703_102cf35c,88,66504.68495518871,in_car,car,46354890
20260611_171703_102cf35c,89,66505.50046453084,generated,car,Node1
20260611_171703_102cf35c,89,66505.50046453084,waiting_car,car,Node1
20260611_171703_102cf35c,89,66505.50046453084,in_car,car,46354890
20260611_171703_102cf35c,90,66506.4837713246,generated,car,Node1
20260611_171703_102cf35c,90,66506.4837713246,waiting_car,car,Node1
20260611_171703_102cf35c,90,66506.4837713246,in_car,car,46354890
20260611_171703_102cf35c,91,66507.05880301144,generated,car,Node5
20260611_171703_102cf35c,91,66507.05880301144,waiting_car,car,Node5
20260611_171703_102cf35c,91,66507.05880301144,in_car,car,3611512307
20260611_171703_102cf35c,92,66507.7778303457,generated,shuttle,Bus_start
20260611_171703_102cf35c,92,66507.7778303457,walking_to_bus,shuttle,Bus_start
20260611_171703_102cf35c,93,66509.98168722843,generated,shuttle,Bus_start
20260611_171703_102cf35c,93,66509.98168722843,walking_to_bus,shuttle,Bus_start
20260611_171703_102cf35c,94,66513.1488449483,generated,car,Node5
20260611_171703_102cf35c,94,66513.1488449483,waiting_car,car,Node5
20260611_171703_102cf35c,94,66513.1488449483,in_car,car,3611512307
20260611_171703_102cf35c,95,66516.7228376038,generated,car,Node1
20260611_171703_102cf35c,95,66516.7228376038,waiting_car,car,Node1
20260611_171703_102cf35c,95,66516.7228376038,in_car,car,46354890
20260611_171703_102cf35c,96,66516.89221473514,generated,car,Node5
20260611_171703_102cf35c,96,66516.89221473514,waiting_car,car,Node5
20260611_171703_102cf35c,96,66516.89221473514,in_car,car,3611512307
20260611_171703_102cf35c,97,66522.3392058872,generated,shuttle,Bus_start
20260611_171703_102cf35c,97,66522.3392058872,walking_to_bus,shuttle,Bus_start
20260611_171703_102cf35c,1,66522.50281883894,parking,car,parking_lot
20260611_171703_102cf35c,3,66522.50281883894,parking,car,parking_lot
20260611_171703_102cf35c,6,66522.50281883894,parking,car,parking_lot
20260611_171703_102cf35c,98,66522.87280297409,generated,car,Node1
20260611_171703_102cf35c,98,66522.87280297409,waiting_car,car,Node1
