run_id,visitor_id,mode,start_node_name,start_node,depart_time,arrival_time,completed,final_state
20260610_175521_48753422,2747,shuttle,Bus_start,46477307,71822.02203099002,74976.47359578584,True,scanned
20260610_175521_48753422,2748,shuttle,Bus_start,46477307,71822.71531637706,74980.04374324992,True,scanned
20260610_175521_48753422,2749,car,Node5,3611512307,71824.65138821593,72398.19735025118,True,scanned
20260610_175521_48753422,2750,car,Node1,46354890,71827.35303803408,72342.69315819934,True,scanned
20260610_175521_48753422,2751,shuttle,Bus_start,46477307,71829.78633559687,74982.04374324992,True,scanned
20260610_175521_48753422,2752,car,Node1,46354890,71831.64897756513,72349.29452494581,True,scanned
20260610_175521_48753422,2753,car,Node4,46493064,71834.06130832272,72548.13042519256,True,scanned
20260610_175521_48753422,2754,car,Node1,46354890,71834.12193398578,72355.03638103908,True,scanned
20260610_175521_48753422,2755,car,Node1,46354890,71837.93550074783,72360.67135082501,True,scanned
20260610_175521_48753422,2756,shuttle,Bus_start,46477307,71837.96240875169,74987.04374324992,True,scanned
20260610_175521_48753422,2757,car,Node1,46354890,71838.16977075045,72360.67135082501,True,scanned
20260610_175521_48753422,2758,car,Node1,46354890,71840.42887439729,72370.02228332809,True,scanned
20260610_175521_48753422,2759,car,Node5,3611512307,71844.94823927814,72425.07981147715,True,scanned
20260610_175521_48753422,2760,car,Node1,46354890,71846.23596347409,72370.02228332809,True,scanned
20260610_175521_48753422,2761,car,Node1,46354890,71850.16751472898,72370.02228332809,True,scanned
20260610_175521_48753422,2762,car,Node5,3611512307,71850.6105300466,72425.07981147715,True,scanned
20260610_175521_48753422,2763,car,Node1,46354890,71856.29489215,72383.03431918717,True,scanned
20260610_175521_48753422,2764,shuttle,Bus_start,46477307,71862.234133307,74989.04374324992,True,scanned
20260610_175521_48753422,2765,car,Node1,46354890,71862.46962883229,72383.03431918717,True,scanned
20260610_175521_48753422,2766,car,Node1,46354890,71867.23220466504,72383.03431918717,True,scanned
20260610_175521_48753422,2767,car,Node5,3611512307,71869.31382357191,72442.51563421525,True,scanned
20260610_175521_48753422,2768,shuttle,Bus_start,46477307,71870.35797719158,74989.47359578584,True,scanned
20260610_175521_48753422,2769,shuttle,Bus_start,46477307,71871.34513212979,74989.66481846261,True,scanned
20260610_175521_48753422,2770,car,Node1,46354890,71880.66678978245,72394.99424957331,True,scanned
20260610_175521_48753422,2771,shuttle,Bus_start,46477307,71883.24353390613,74989.66481846261,True,scanned
