run_id,bus_id,trip_id,depart_time,arrival_time,return_arrival_time,passenger_count,capacity,load_factor,station_queue_left,outbound_drive_time,return_drive_time,outbound_distance_m,return_distance_m
20260611_171703_102cf35c,1,1,66600.0,66812.91697668901,67022.49283508475,1,40,0.025,31,212.9169766890118,207.57585839573585,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,2,1,66600.0,66829.44979541776,67051.14063148534,1,40,0.025,20,229.4497954177641,219.6908360675734,1762.3298283096913,1697.220942188526
20260611_171703_102cf35c,1,2,67384.89982374418,67599.78094900167,67887.35495713,40,40,1.0,40,214.88112525748147,207.5740081283293,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,2,2,67504.26595879212,67725.05029819693,68012.61306693192,40,40,1.0,16,220.78433940481045,207.56276873499155,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,1,3,67967.35495713,68191.70039061787,68479.15227430932,40,40,1.0,29,224.34543348787702,207.45188369145035,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,2,3,68185.72310988695,68398.53511220636,68688.55836453359,40,40,1.0,13,212.81200231940602,210.02325232722796,1740.8920024559548,1718.6587680422624
20260611_171703_102cf35c,1,4,68559.42908462683,68773.08668707899,69060.39974920347,40,40,1.0,25,213.6576024521637,207.31306212447817,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,2,4,68879.95091319582,69092.59254674206,69379.8940924079,40,40,1.0,7,212.6416335462418,207.3015456658468,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,1,5,69298.77462725238,69525.34469888896,69812.64624455481,40,40,1.0,9,226.57007163658272,207.3015456658468,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,2,5,69726.8501718615,69939.48577750108,70226.78732316692,40,40,1.0,7,212.63560563957435,207.3015456658468,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,1,6,70129.37730310862,70343.91818158557,70631.21972725142,40,40,1.0,13,214.54087847695337,207.3015456658468,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,2,6,70503.22939085886,70722.40036982913,71009.70191549498,40,40,1.0,0,219.1709789702727,207.3015456658468,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,1,7,71105.69384333793,71335.94603245056,71623.22790701006,40,40,1.0,12,230.252189112638,207.28187455949956,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,2,7,71475.74692366809,71693.65094247312,71980.89801424372,40,40,1.0,0,217.9040188050276,207.2470717706019,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,1,8,72092.54943574245,72305.09837283198,72592.2850097065,40,40,1.0,1,212.5489370895375,207.18663687451044,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,2,8,72580.89801424372,72793.40582225536,73074.58277615435,37,40,0.925,0,212.50780801163637,207.17695389899018,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,1,9,73192.2850097065,73405.74699187926,73688.92394577825,38,40,0.95,2,213.46198217276833,207.17695389899018,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,2,9,73675.34482530999,73887.85263332163,74173.02958722062,39,40,0.975,0,212.50780801163637,207.17695389899018,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,1,10,74288.92394577825,74501.43175378989,74776.60870768888,34,40,0.85,0,212.50780801163637,207.17695389899018,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,2,10,74773.02958722062,74985.53739523226,75242.65161338076,25,40,0.625,0,212.50780801163637,207.11421814850473,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,1,11,75376.60870768888,75588.83344728909,75855.56461709639,30,40,0.75,1,212.2247396002058,206.73116980730265,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,2,11,75842.65161338076,76054.57131631921,76319.02639691372,29,40,0.725,0,211.91970293845225,206.45508059450367,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,1,12,76455.56461709639,76667.32468311387,76919.77265246352,23,40,0.575,0,211.7600660174794,206.44796934965416,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,2,12,76919.70753307772,77131.4675990952,77371.91556844485,17,40,0.425,0,211.7600660174794,206.44796934965416,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,1,13,77519.77265246352,77731.532718481,77969.98068783066,16,40,0.4,0,211.7600660174794,206.44796934965416,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,2,13,77971.91556844485,78183.67563446233,78428.12360381198,19,40,0.475,0,211.7600660174794,206.44796934965416,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,1,14,78570.27280642223,78781.99700085481,79026.31090749135,19,40,0.475,0,211.72419443257968,206.3139066365402,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,2,14,79028.12360381198,79239.6685956464,79475.82575075114,15,40,0.375,0,211.54499183442385,206.1571551047382,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,1,15,79626.31090749135,79837.64230744688,80073.64905718654,15,40,0.375,0,211.33139995552483,206.0067497396667,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,2,15,80075.82575075114,80287.13324417111,80523.13999391078,15,40,0.375,0,211.30749341996852,206.0067497396667,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,1,16,80673.64905718654,80884.95655060651,81118.96330034618,14,40,0.35,0,211.30749341996852,206.0067497396667,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,2,16,81123.13999391078,81334.44748733075,81552.45423707041,6,40,0.15,0,211.30749341996852,206.0067497396667,1740.8920024559548,1697.220942188526
20260611_171703_102cf35c,1,17,81718.96330034618,81930.27079376615,82164.27754350581,14,40,0.35,0,211.30749341996852,206.0067497396667,1740.8920024559548,1697.220942188526
